age,live,through,sex,domain,transportation,most_app,likes,voice
31.5,가족과 함께 살고 있음,지인 소개,여,프리랜서,자동차,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",5,류준열?
21.5,가족과 함께 살고 있음,지인 소개,남,학생,지하철,"날씨, 주식 및 비트코인, 뉴스",2,없음
21.5,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,학생,버스,"날씨, 미세먼지, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",2,
21.5,원룸,지인 소개,여,학생,버스,"날씨, 미세먼지, 뉴스, 이동수단에 대한 정보",3,좋아하는 연예인
25,원룸,지인 소개,여,학생,도보,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,잠 잘자게 하는 목소리 ㅎ
21.5,원룸,지인 소개,남,학생,지하철,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",3,밖에서 음성이 들려도 쪽팔리지 않을 소리
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,이동수단에 대한 정보,3,발음이 정확한 음성
21.5,빌라,지인 소개,남,학생,자동차,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,연인의 목소리.
21.5,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,학생,버스,"날씨, 뉴스",3,
25,가족과 함께 살고 있음,지인 소개,남,학생,버스,"날씨, 이동수단에 대한 정보",3,딱히 없음
21.5,가족과 함께 살고 있음,지인 소개,남,학생,지하철,주식 및 비트코인,2,단어의 가독성 좋은 목소리
21.5,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,학생,버스,"날씨, 이동수단에 대한 정보",4,주지훈
31.5,가족과 함께 살고 있음,지인 소개,여,직장인,지하철,"날씨, 미세먼지, 주식 및 비트코인",1,연예인
31.5,원룸,단체카톡방 또는 오픈채팅방 링크,남,직장인,지하철,"날씨, 이동수단에 대한 정보",4,죠르디
21.5,아파트,지인 소개,남,학생,자동차,"미세먼지, 주식 및 비트코인, 뉴스",2,
25,가족과 함께 살고 있음,지인 소개,여,학생,택시,"날씨, 미세먼지, 코로나 관련 소식 및 확진자 수",3,없습니다
21.5,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,학생,버스,"날씨, 이동수단에 대한 정보",2,남도형 성우님 정재헌 성우님 다 좋아요~@!!
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",4,
21.5,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,남,학생,지하철,"날씨, 뉴스",2,걸그룹
35,가족과 함께 살고 있음,지인 소개,남,자영업자,자동차,"주식 및 비트코인, 유튜브, 웹툰",4,"배우, 지인, 내 목소리"
25,원룸,지인 소개,여,학생,지하철,"주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4,"김선호, 여진구, 아이유"
31.5,아파트,지인 소개,남,직장인,버스,"날씨, 주식 및 비트코인, 뉴스",5,여자친구 목소리
31.5,가족과 함께 살고 있음,지인 소개,여,직장인,버스,"날씨, 뉴스",2,
31.5,원룸,지인 소개,여,직장인,자동차,"주식 및 비트코인, 뉴스",4,
28,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,직장인,택시,"날씨, 뉴스, 이동수단에 대한 정보",4,듣기 편안한 성우
21.5,가족과 함께 살고 있음,지인 소개,남,학생,지하철,"날씨, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4,이병헌 목소리 또는 목소리가 차분하고 약간 낮은 여자(구체적 인물은 모르겠음)
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 미세먼지, 이동수단에 대한 정보",5,
21.5,빌라,에브리타임,여,학생,버스,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",5,그냥 일반 ai도 괜찮아요
21.5,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,여,학생,지하철,"주식 및 비트코인, 뉴스, 이동수단에 대한 정보",3,좋아하는 배우(박보영)
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 이동수단에 대한 정보",4,자신의 목소리
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4,도네시스템같은 목소리들
21.5,원룸,에브리타임,여,학생,도보,"날씨, 미세먼지, 이동수단에 대한 정보",4,여진구 목소리
25,원룸,에브리타임,남,학생,버스,이동수단에 대한 정보,5,여아이돌
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,주식 및 비트코인,3,안정되고 듣기 좋은 음성
21.5,가족과 함께 살고 있음,에브리타임,남,학생,도보,"뉴스, 이동수단에 대한 정보",3,"배우,가수"
21.5,가족과 함께 살고 있음,에브리타임,남,학생,도보,뉴스,5,견자희
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",4,상관없움
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",2,딱히 선호하는 것은 없지만 자연스러운 목소리
21.5,원룸,에브리타임,여,학생,도보,"주식 및 비트코인, 이동수단에 대한 정보",2,없습니다
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",1,
