,group,age,likes,sex,미세먼지,토스,캘린더,과제,인터넷방송,패션,웹툰,주식 및 비트코인,코로나 관련 소식 및 확진자 수,유튜브,뉴스,이동수단에 대한 정보,날씨,게임,SNS,축구,업무용 메신저,영화,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
mean,2,32.58,3.4,0.36,0.24,0,0,0,0,0,0.04,0.56,0.12,0.08,0.52,0.4,0.68,0,0,0,0.04,0,0.6,0,0.04,0.08,0.28,0,0,0.2,0,0,0.8,0,0.04,0.16,0.76,0.04,0,0.04,0.04,0.12,0.44,0,0,0.36,0
std,0,2.085065946,1.322875656,0.489897949,0.435889894,0,0,0,0,0,0.2,0.506622805,0.331662479,0.276887462,0.509901951,0.5,0.476095229,0,0,0,0.2,0,0.5,0,0.2,0.276887462,0.458257569,0,0,0.40824829,0,0,0.40824829,0,0.2,0.374165739,0.435889894,0.2,0,0.2,0.2,0.331662479,0.506622805,0,0,0.489897949,0
min,2,31.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,2,31.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50%,2,31.5,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75%,2,31.5,4,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
max,2,38,5,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,33살,,날씨,0.68,,가족,0.6,,지인소개,0.41,,직장인,0.76,,자동차,0.44,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3.4점,,"주식, 비트코인",0.56,,원룸,0.3,,단톡방,0.41,,자영업자,0.16,,지하철,0.36,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.36 남여,,뉴스,0.52,,,,,,,,프리렌서,0.04,,버스,0.12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,이동수단에 대한 정보,0.4,,,,,,,,무직,0.04,,바이크,0.04,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,미세먼지,0.24,,,,,,,,,,,도보,0.04,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,코로나,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
