,group,age,likes,sex,미세먼지,이동수단에 대한 정보,날씨,코로나 관련 소식 및 확진자 수,과제,웹툰,유튜브,뉴스,토스,주식 및 비트코인,인터넷방송,캘린더,영화,축구,게임,패션,SNS,업무용 메신저,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
mean,0,25.71052632,3.526315789,0.394736842,0.289473684,0.657894737,0.763157895,0.289473684,0,0,0,0.394736842,0,0.368421053,0.026315789,0.026315789,0,0.026315789,0,0,0.026315789,0,1,0,0,0,0,0,0,0.052631579,0,0.578947368,0.368421053,0,0.078947368,0.026315789,0.236842105,0,0.657894737,0.078947368,0,0.236842105,0.052631579,0,0,0.578947368,0.052631579
std,0,1.292554453,1.179483215,0.495355383,0.459605867,0.480782908,0.430851484,0.459605867,0,0,0,0.495355383,0,0.48885153,0.162221421,0.162221421,0,0.162221421,0,0,0.162221421,0,0,0,0,0,0,0,0,0.226294286,0,0.500355492,0.48885153,0,0.273276313,0.162221421,0.430851484,0,0.480782908,0.273276313,0,0.430851484,0.226294286,0,0,0.500355492,0.226294286
min,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,0,25,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50%,0,25,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75%,0,25,4,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
max,0,28,5,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,25.7살,,날씨,0.76,,에브리타임,0.58,,학생,0.66,,지하철,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.53,,이동수단에 대한 정보,0.66,,지인소개,0.37,,직장인,0.24,,버스,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.39 남여,,뉴스,0.39,,,,,,,,자동차,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,주식 및 비트코인,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,미세먼지,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,코로나 관련 소식 및 확진자 수,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
