,group,age,likes,sex,인터넷방송,패션,토스,SNS,미세먼지,이동수단에 대한 정보,뉴스,주식 및 비트코인,날씨,웹툰,캘린더,과제,축구,영화,코로나 관련 소식 및 확진자 수,업무용 메신저,유튜브,게임,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
mean,2,25.9375,3.59375,0,0.03125,0,0,0.03125,0.28125,0.53125,0.5,0.53125,0.71875,0,0,0,0.03125,0,0.25,0,0,0,0.71875,0,0.03125,0.03125,0.1875,0.03125,0,0.03125,0,0.65625,0.3125,0,0.0625,0.03125,0.15625,0,0.75,0.15625,0,0.21875,0.0625,0,0.03125,0.53125,0
std,0,1.412787225,1.291644988,0,0.176776695,0,0,0.176776695,0.456803409,0.507007349,0.508000508,0.507007349,0.456803409,0,0,0,0.176776695,0,0.439941345,0,0,0,0.456803409,0,0.176776695,0.176776695,0.396557769,0.176776695,0,0.176776695,0,0.482558704,0.470929075,0,0.245934688,0.176776695,0.368902033,0,0.439941345,0.368902033,0,0.420013441,0.245934688,0,0.176776695,0.507007349,0
min,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,2,25,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0
50%,2,25,4,0,0,0,0,0,0,1,0.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75%,2,28,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
max,2,28,5,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.9살,,날씨,0.72,,가족과 함께,0.72,,에브리타임,0.66,,학생,0.75,,지하철,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.59점,,이동수단,0.53,,원룸,0.19,,지인,0.31,,직장인,0.16,,버스,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,남자,,주식,0.53,,,,,,,,,,,도보,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32 샘플,,뉴스,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,미세먼지,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
