,group,age,likes,sex,코로나 관련 소식 및 확진자 수,날씨,업무용 메신저,주식 및 비트코인,유튜브,이동수단에 대한 정보,웹툰,캘린더,인터넷방송,게임,토스,미세먼지,SNS,영화,과제,패션,뉴스,축구,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
mean,2,25,3.384615385,0.461538462,0.307692308,0.666666667,0,0.358974359,0,0.743589744,0,0,0.025641026,0,0,0.256410256,0.025641026,0,0,0,0.435897436,0.025641026,0.692307692,0,0.051282051,0,0.256410256,0,0,0.025641026,0,0.666666667,0.307692308,0,0.025641026,0.051282051,0.102564103,0.025641026,0.794871795,0.179487179,0,0.230769231,0,0,0,0.564102564,0.025641026
std,0,0,1.248480858,0.505035374,0.4675719,0.477566933,0,0.485970515,0,0.44235903,0,0,0.160128154,0,0,0.44235903,0.160128154,0,0,0,0.502356122,0.160128154,0.4675719,0,0.223455865,0,0.44235903,0,0,0.160128154,0,0.477566933,0.4675719,0,0.160128154,0.223455865,0.307354741,0.160128154,0.409073869,0.388776412,0,0.426832795,0,0,0,0.502356122,0.160128154
min,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,2,25,2.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,2,25,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75%,2,25,4,1,1,1,0,1,0,1,0,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
max,2,25,5,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25살,,이동수단,0.74,,가족,0.69,,에타,0.67,,학생,0.79,,지하철,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.38 점,,날씨,0.67,,원룸,0.26,,지인,0.31,,직장인,0.1,,버스,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.46 남여,,뉴스,0.44,,,,,,,,,,,도보,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,39 샘플,,주식,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,코로나,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,미세먼지,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
