,age,likes,sex,업무용 메신저,게임,이동수단에 대한 정보,과제,토스,코로나 관련 소식 및 확진자 수,날씨,웹툰,뉴스,캘린더,SNS,축구,인터넷방송,미세먼지,유튜브,패션,주식 및 비트코인,영화,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
mean,24.55,1,0.4,0,0,0.8,0,0,0.1,0.5,0,0.2,0,0,0,0,0.4,0,0,0.3,0,0.8,0,0,0.1,0.1,0,0,0,0,0.7,0.3,0,0,0,0.3,0,0.7,0,0,0,0,0.1,0,0.9,0
std,3.99617873,0,0.516397779,0,0,0.421637021,0,0,0.316227766,0.527046277,0,0.421637021,0,0,0,0,0.516397779,0,0,0.483045892,0,0.421637021,0,0,0.316227766,0.316227766,0,0,0,0,0.483045892,0.483045892,0,0,0,0.483045892,0,0.483045892,0,0,0,0,0.316227766,0,0.316227766,0
min,21.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,21.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1,0
50%,23.25,1,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75%,25,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.75,0,1,0,0,0,0,0,0,0,0,1,0.75,0,0,0,0.75,0,1,0,0,0,0,0,0,1,0
max,31.5,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1점,,이동수단,0.8,,가족,0.8,,에타,0.7,,학생,0.7,,지하철,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24.55 세,,날씨,0.5,,아파트,0.1,,지인,0.3,,직장인,0.3,,자전거,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.4 남여,,미세먼지,0.4,,원룸,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10 샘플,,주식,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,뉴스,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
