,age,likes,sex,과제,토스,업무용 메신저,코로나 관련 소식 및 확진자 수,주식 및 비트코인,영화,캘린더,SNS,게임,인터넷방송,날씨,축구,패션,웹툰,이동수단에 대한 정보,뉴스,미세먼지,유튜브,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
mean,24.32432432,2,0.540540541,0,0,0.027027027,0.081081081,0.405405405,0,0,0,0,0,0.702702703,0,0,0,0.594594595,0.378378378,0.243243243,0,0.594594595,0.027027027,0.054054054,0.027027027,0.297297297,0,0,0.162162162,0,0.567567568,0.27027027,0,0,0.054054054,0.162162162,0,0.783783784,0.108108108,0.027027027,0.243243243,0.108108108,0,0,0.513513514,0
std,4.215079109,0,0.505227924,0,0,0.164398987,0.276724731,0.497742652,0,0,0,0,0,0.463373192,0,0,0,0.497742652,0.491672393,0.434958836,0,0.497742652,0.164398987,0.229243435,0.164398987,0.463373192,0,0,0.373683877,0,0.502247202,0.450225169,0,0,0.229243435,0.373683877,0,0.417341795,0.314800094,0.164398987,0.434958836,0.314800094,0,0,0.50671171,0
min,21.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,21.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,21.5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75%,25,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
max,35,2,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24.3세,,날씨,0.7,,가족,0.59,,에타,0.57,,학생,0.78,,지허철,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.54 남여,,이동수단,0.59,,원룸,0.3,,지인,0.27,,직장인,0.16,,버스,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,37 샘플,,주식,0.41,,,,,단톡,0.16,,자영업,0.05,,자동차,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2점,,뉴스,0.38,,,,,,,,,,,도보,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,미세먼지,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
