,age,likes,sex,이동수단에 대한 정보,캘린더,날씨,뉴스,게임,유튜브,토스,코로나 관련 소식 및 확진자 수,과제,영화,주식 및 비트코인,웹툰,업무용 메신저,인터넷방송,패션,축구,SNS,미세먼지,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
mean,22.73809524,3,0.666666667,0.666666667,0,0.682539683,0.476190476,0,0,0,0.253968254,0,0,0.301587302,0,0,0,0.015873016,0,0.015873016,0.206349206,0.777777778,0.031746032,0.031746032,0.015873016,0.126984127,0.015873016,0.031746032,0.063492063,0.015873016,0.571428571,0.317460317,0.015873016,0.015873016,0.015873016,0.111111111,0.015873016,0.825396825,0.222222222,0,0.301587302,0.015873016,0.015873016,0,0.428571429,0.015873016
std,2.572900245,0,0.475190963,0.475190963,0,0.469227121,0.503444358,0,0,0,0.438775935,0,0,0.462633438,0,0,0,0.125988158,0,0.125988158,0.407934615,0.419079038,0.176731432,0.176731432,0.125988158,0.335629572,0.125988158,0.176731432,0.24580453,0.125988158,0.498846596,0.469227121,0.125988158,0.125988158,0.125988158,0.316793976,0.125988158,0.38267659,0.419079038,0,0.462633438,0.125988158,0.125988158,0,0.498846596,0.125988158
min,21.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,21.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,21.5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,21.5,3,1,1,0,1,1,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
max,31.5,3,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3점,,날씨,0.68,,가족,0.78,,에타,0.57,,학생,0.83,,지하철,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.7세,,이동수단,0.67,,원룸,0.13,,지인,0.32,,직장인,0.11,,버스,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.66 남여,,뉴스,0.47,,,,,,,,,,,도보,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63 샘플,,주식,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,미세먼지,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
