,age,likes,sex,축구,SNS,인터넷방송,게임,날씨,유튜브,웹툰,패션,이동수단에 대한 정보,미세먼지,주식 및 비트코인,캘린더,과제,토스,뉴스,코로나 관련 소식 및 확진자 수,영화,업무용 메신저,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
mean,23.41326531,4,0.693877551,0,0.010204082,0,0.010204082,0.846938776,0.010204082,0.010204082,0,0.775510204,0.244897959,0.316326531,0.020408163,0,0,0.346938776,0.234693878,0.010204082,0,0.663265306,0.071428571,0.030612245,0.040816327,0.193877551,0,0.030612245,0.051020408,0,0.62244898,0.295918367,0,0.030612245,0.030612245,0.132653061,0,0.806122449,0.193877551,0,0.275510204,0.081632653,0.010204082,0,0.428571429,0.010204082
std,3.417681066,0,0.463250801,0,0.101015254,0,0.101015254,0.361897656,0.101015254,0.101015254,0,0.419391121,0.432237632,0.467432972,0.142118858,0,0,0.47844337,0.425986312,0.101015254,0,0.475023115,0.258863495,0.17315041,0.198881789,0.397366674,0,0.17315041,0.221170689,0,0.487266859,0.4588013,0,0.17315041,0.17315041,0.340943358,0,0.397366674,0.397366674,0,0.449068044,0.275211985,0.101015254,0,0.497416003,0.101015254
min,21.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,21.5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,21.5,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,25,4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
max,35,4,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4점,,날씨,0.85,,가족,0.67,,에타,0.62,,학생,0.81,,지하철,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23.4세,,이동수단,0.78,,원룸,0.19,,지인,0.3,,직장인,0.13,,버스,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.69 남여,,뉴스,0.35,,기숙사,0.07,,,,,자영업,0.03,,도보,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,98 샘플,,주식,0.32,,빌라,0.03,,,,,무직,0.03,,자동차,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,미세먼지,0.24,,아파트,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,코로나,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
