,age,likes,sex,이동수단에 대한 정보,코로나 관련 소식 및 확진자 수,웹툰,토스,SNS,업무용 메신저,유튜브,날씨,게임,영화,미세먼지,캘린더,인터넷방송,패션,과제,뉴스,축구,주식 및 비트코인,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
mean,23.60169492,5,0.457627119,0.711864407,0.186440678,0,0.016949153,0.033898305,0,0.016949153,0.796610169,0,0,0.406779661,0.016949153,0.016949153,0,0.016949153,0.423728814,0.016949153,0.423728814,0.661016949,0.084745763,0.033898305,0.033898305,0.169491525,0.016949153,0,0,0,0.779661017,0.220338983,0,0,0.016949153,0.101694915,0.016949153,0.86440678,0.152542373,0,0.305084746,0.084745763,0.016949153,0.016949153,0.423728814,0
std,3.984646894,0,0.502477788,0.456782128,0.392804956,0,0.130188911,0.182520825,0,0.130188911,0.405975242,0,0,0.495449781,0.130188911,0.130188911,0,0.130188911,0.498390161,0.130188911,0.498390161,0.477427355,0.280893623,0.182520825,0.182520825,0.37840602,0.130188911,0,0,0,0.418033022,0.418033022,0,0,0.130188911,0.304841126,0.130188911,0.345294832,0.362632108,0,0.464395688,0.280893623,0.130188911,0.130188911,0.498390161,0
min,21.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25%,21.5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,21.5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75%,25,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
max,38,5,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5점,,날씨,0.8,,가족,0.66,,에타,0.78,,학생,0.86,,지하철,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23.6세,,이동수단,0.71,,원룸,0.17,,지인,0.22,,직장인,0.1,,버스,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.45 남여,,뉴스,0.42,,기숙사,0.08,,,,,자영업,0.02,,도보,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,59 샘플,,비트코인,0.42,,아파트,0.03,,,,,프리렌서,0.02,,자동차,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,미세먼지,0.41,,빌라,0.02,,,,,,,,재탁,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,코로나,0.19,,,,,,,,,,,자전거,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
