,group,age,likes,sex,SNS,주식 및 비트코인,날씨,인터넷방송,영화,뉴스,게임,캘린더,토스,패션,코로나 관련 소식 및 확진자 수,미세먼지,이동수단에 대한 정보,웹툰,업무용 메신저,유튜브,과제,축구,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
mean,0,25.4375,3.5625,0.6875,0,0.5,0.8125,0,0,0.375,0,0.0625,0,0,0.375,0.3125,0.625,0,0,0,0,0,0.75,0,0,0.0625,0.1875,0,0.0625,0.1875,0.0625,0.1875,0.5,0,0,0,1,0,0,0.0625,0,0.375,0.0625,0.0625,0,0.375,0.0625
std,0,2.694902596,1.030776406,0.478713554,0,0.516397779,0.403112887,0,0,0.5,0,0.25,0,0,0.5,0.478713554,0.5,0,0,0,0,0,0.447213595,0,0,0.25,0.403112887,0,0.25,0.403112887,0.25,0.403112887,0.516397779,0,0,0,0,0,0,0.25,0,0.5,0.25,0.25,0,0.5,0.25
min,0,21.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25%,0,24.125,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50%,0,25,4,1,0,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75%,0,28,4,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
max,0,28,5,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,25.44살,,날씨,0.81,,가족과 함께,0.75,,지인,0.5,,지하철,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.56점,,이동수단,0.63,,원룸,0.19,,에타,0.19,,버스,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.69 남여,,주식,0.5,,,,,단톡방,0.19,,도보,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16 샘플,,뉴스,0.38,,,,,,,,자전거,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,코로나,0.38,,,,,,,,택시,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,미세먼지,0.31,,,,,,,,자동차,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
