,group,age,likes,sex,코로나 관련 소식 및 확진자 수,뉴스,게임,이동수단에 대한 정보,날씨,SNS,인터넷방송,영화,유튜브,미세먼지,웹툰,캘린더,과제,토스,축구,업무용 메신저,주식 및 비트코인,패션,"('가족과 함께 살고 있음',)","('기숙사',)","('빌라',)","('아파트',)","('원룸',)","('주택',)","('SNS',)","('단체카톡방 또는 오픈채팅방 링크',)","('블라인드',)","('에브리타임',)","('지인 소개',)","('군인',)","('무직',)","('자영업자',)","('직장인',)","('프리랜서',)","('학생',)","('도보',)","('바이크',)","('버스',)","('자동차',)","('자전거 및 퍼스널 모빌리티',)","('재택',)","('지하철',)","('택시',)"
count,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
mean,1,21.5,2.555555556,0.680555556,0.138888889,0.388888889,0,0.722222222,0.680555556,0.013888889,0,0,0,0.236111111,0,0,0,0,0,0,0.263888889,0.013888889,0.736111111,0.041666667,0.013888889,0.041666667,0.166666667,0,0.013888889,0.069444444,0,0.736111111,0.180555556,0,0,0,0,0,1,0.180555556,0,0.277777778,0.027777778,0.013888889,0,0.5,0
std,0,0,0.625488854,0.469533448,0.348257455,0.490919102,0,0.451046427,0.469533448,0.11785113,0,0,0,0.427671572,0,0,0,0,0,0,0.443832717,0.11785113,0.443832717,0.201228621,0.11785113,0.201228621,0.375293313,0,0.11785113,0.255992346,0,0.443832717,0.38734884,0,0,0,0,0,0,0.38734884,0,0.451046427,0.165488796,0.11785113,0,0.503508815,0
min,1,21.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25%,1,21.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50%,1,21.5,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0
75%,1,21.5,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
max,1,21.5,3,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21.5살,,이동수단,0.72,,가족,0.74,,에브리타임,0.74,,지하철,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.55점,,날씨,0.68,,원룸,0.17,,지인,0.18,,버스,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.68 남여,,뉴스,0.39,,,,,,,,자동차,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,72 샘플,,주식,0.26,,,,,,,,도보,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,미세먼지,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,코로나,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
